Unnamed: 0,Median Income,Age of House,Average Rooms,Average Bedrooms,Population,Average Occupancy,Latitude,Longitude,Price,Postal_Code,Extra_Noise,Random,Average_NotBedrooms
24,2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,1.326,92391,0.20788037677769067,65.40939984634909,4.234597156398104
25,2.4038,41.0,4.495798319327731,1.0336134453781514,317.0,2.663865546218488,37.85,-122.28,1.075,95611,-0.9772376887147608,28.972555659448695,3.46218487394958
26,2.4597,49.0,4.728033472803348,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28,0.938,96949,1.738397194049411,98.72947149962611,3.7071129707112984
27,1.808,52.0,4.780856423173804,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28,1.055,92433,0.8209228791097093,95.0182393731669,3.720403022670026
28,1.6424,50.0,4.40169133192389,1.040169133192389,1131.0,2.3911205073995774,37.84,-122.28,1.089,95311,-0.9115099686768718,57.44409832063994,3.3615221987315005
29,1.6875,52.0,4.703225806451613,1.032258064516129,395.0,2.548387096774193,37.84,-122.28,1.32,95051,0.3425189711405081,84.32083783995635,3.670967741935484
30,1.9274,49.0,5.068783068783069,1.1825396825396826,863.0,2.2830687830687832,37.84,-122.28,1.223,96420,0.29674848097815815,26.14944887198717,3.886243386243386
31,1.9615,52.0,4.882086167800454,1.090702947845805,1168.0,2.6485260770975056,37.84,-122.28,1.152,91184,-0.6367951015495571,41.603699661089,3.791383219954649
32,1.7969,48.0,5.737313432835821,1.2208955223880598,1026.0,3.062686567164179,37.84,-122.27,1.104,94555,0.3481068147147108,18.39717607438337,4.516417910447761
33,1.375,49.0,5.030395136778116,1.1124620060790271,754.0,2.291793313069909,37.83,-122.27,1.049,93385,1.1061868381238813,52.0102642629248,3.9179331306990894
34,2.7303,51.0,4.972014925373134,1.0708955223880596,1258.0,2.3470149253731343,37.83,-122.27,1.097,94117,-0.2962491987642396,49.60014300716653,3.9011194029850746
35,1.4861,49.0,4.602272727272728,1.068181818181818,570.0,2.159090909090909,37.83,-122.27,0.972,96396,1.2082690915880543,21.281322596156638,3.5340909090909105
36,1.0972,48.0,4.807486631016043,1.1550802139037433,987.0,2.6390374331550803,37.83,-122.27,1.045,94843,-1.7553545693201642,67.28016937160976,3.6524064171122994
37,1.4103,52.0,3.7493796526054592,0.967741935483871,901.0,2.235732009925558,37.83,-122.28,1.039,92904,2.2182669931208663,11.779029552541253,2.7816377171215882
38,3.48,52.0,4.757281553398058,1.0679611650485437,689.0,2.229773462783172,37.83,-122.26,1.914,90474,0.057351269979681666,6.1691451069711185,3.6893203883495143
39,2.5898,52.0,3.4942528735632186,1.0272988505747127,1377.0,1.978448275862069,37.83,-122.26,1.76,91082,1.0730209948036222,38.49049686623861,2.4669540229885056
40,2.0978,52.0,4.215189873417722,1.0607594936708862,946.0,2.39493670886076,37.83,-122.26,1.554,92558,0.21861148653470555,40.982477778470496,3.1544303797468354
41,1.2852,51.0,3.759036144578314,1.248995983935743,517.0,2.076305220883534,37.83,-122.26,1.5,92047,-0.8235226168569771,31.974060652648618,2.510040160642571
42,1.025,49.0,3.772486772486773,1.0687830687830688,462.0,2.4444444444444446,37.84,-122.26,1.188,92747,-0.036376623659504295,25.79466375782504,2.703703703703704
43,3.9643,52.0,4.797979797979798,1.02020202020202,467.0,2.3585858585858586,37.84,-122.26,1.888,90975,-1.9094710179012568,33.877634500953036,3.7777777777777777
44,3.0125,52.0,4.941780821917808,1.0650684931506849,660.0,2.26027397260274,37.83,-122.26,1.844,91806,0.6883869307128097,16.3375573952103,3.8767123287671232
45,2.6768,52.0,4.335078534031414,1.099476439790576,718.0,1.8795811518324608,37.83,-122.26,1.823,90189,0.19376457864482052,40.34524691328774,3.235602094240838
46,2.026,50.0,3.700657894736842,1.0592105263157894,616.0,2.026315789473684,37.83,-122.26,1.425,92734,-0.19155715846824467,90.46033735174437,2.6414473684210527
47,1.7348,43.0,3.9802371541501977,1.233201581027668,558.0,2.205533596837945,37.82,-122.27,1.375,93005,0.7526995710756373,22.442688120883826,2.7470355731225298
48,0.9506,40.0,3.9,1.21875,423.0,2.64375,37.82,-122.26,1.875,94658,0.03752326159319303,68.44511043503503,2.68125
49,1.775,40.0,2.6875,1.0653409090909092,700.0,1.9886363636363635,37.82,-122.27,1.125,91899,0.6068298722825746,14.178451039783935,1.6221590909090908
50,0.9218,21.0,2.045662100456621,1.0342465753424657,735.0,1.678082191780822,37.82,-122.27,1.719,91267,0.9623165788801443,35.39066240102308,1.0114155251141552
51,1.5045,43.0,4.58968058968059,1.1203931203931203,1061.0,2.6068796068796067,37.82,-122.27,0.938,96975,-0.5492281394953985,32.11747805452563,3.46928746928747
52,1.1108,41.0,4.473611111111111,1.1847222222222222,1959.0,2.720833333333333,37.82,-122.27,0.975,91528,-0.8354102823918249,93.70293944083278,3.288888888888889
53,1.2475,52.0,4.075,1.14,1162.0,2.905,37.82,-122.27,1.042,93202,-1.7225600747524696,42.79820558018089,2.9350000000000005
54,1.6098,52.0,5.021459227467811,1.0085836909871244,701.0,3.0085836909871246,37.82,-122.28,0.875,93556,0.1225607988278583,69.0465943781384,4.012875536480687
55,1.4113,52.0,4.295454545454546,1.1045454545454545,576.0,2.618181818181818,37.82,-122.28,0.831,93890,0.45209728845068775,60.246280897132934,3.1909090909090914
56,1.5057,52.0,4.77992277992278,1.111969111969112,622.0,2.4015444015444016,37.82,-122.28,0.875,90646,-1.3236153984890395,14.103007528476141,3.6679536679536677
57,0.8172,52.0,6.102459016393443,1.3729508196721312,728.0,2.9836065573770494,37.82,-122.28,0.853,96164,1.4203798480283505,93.95404510306183,4.729508196721311
58,1.2171,52.0,4.5625,1.1217105263157894,1074.0,3.5328947368421053,37.82,-122.28,0.803,92888,-0.822335471352724,34.586929185576324,3.4407894736842106
59,2.5625,2.0,2.771929824561404,0.7543859649122807,94.0,1.649122807017544,37.82,-122.29,0.6,96310,-2.103500091725501,4.475835578364973,2.0175438596491233
60,3.3929,52.0,5.994652406417113,1.1283422459893049,554.0,2.962566844919786,37.83,-122.29,0.757,95393,1.4948228998923268,30.044370684418766,4.866310160427808
61,6.1183,49.0,5.869565217391305,1.2608695652173914,86.0,3.739130434782609,37.82,-122.29,0.75,92435,-1.9730149999848399,33.56337258823261,4.608695652173913
62,0.9011,50.0,6.229508196721311,1.5573770491803278,377.0,3.0901639344262297,37.81,-122.29,0.861,90600,0.9641787733834252,9.27453273787272,4.672131147540983
63,1.191,52.0,7.69811320754717,1.490566037735849,521.0,3.276729559748428,37.81,-122.3,0.761,92363,0.7211195208758526,61.99774063799428,6.2075471698113205
64,2.5938,48.0,6.225563909774436,1.368421052631579,392.0,2.9473684210526314,37.81,-122.3,0.735,92061,0.31955410121987704,34.67642055415454,4.857142857142858
65,1.1667,52.0,5.401069518716578,1.1176470588235294,604.0,3.229946524064171,37.81,-122.3,0.784,90241,-0.5227749482165637,62.91346063309709,4.283422459893048
66,0.8056,48.0,4.382530120481928,1.0662650602409638,788.0,2.3734939759036147,37.81,-122.3,0.844,92041,0.5027972945255772,0.6740563589067161,3.316265060240964
67,2.6094,52.0,6.98639455782313,1.6598639455782314,492.0,3.346938775510204,37.8,-122.29,0.813,92824,1.0484848737045507,98.20483989907525,5.326530612244898
68,1.8516,52.0,6.975609756097561,1.329268292682927,274.0,3.341463414634146,37.81,-122.3,0.85,92612,-0.9858104964754729,17.05163585446816,5.646341463414634
69,0.9802,46.0,4.584288052373159,1.0540098199672667,1823.0,2.983633387888707,37.81,-122.29,1.292,91363,0.9763736729794835,65.93309867049364,3.5302782324058923
70,1.7719,26.0,6.047244094488189,1.1968503937007875,392.0,3.0866141732283463,37.81,-122.29,0.825,96235,0.9308745119372439,71.57843032795155,4.850393700787402
71,0.7286,46.0,3.375451263537906,1.072202166064982,582.0,2.101083032490975,37.81,-122.29,0.952,95486,0.29305109092155535,17.16083497474761,2.303249097472924
72,1.75,49.0,5.552631578947368,1.3421052631578947,560.0,3.684210526315789,37.81,-122.29,0.75,91478,-0.5379748780811127,11.171228210241857,4.2105263157894735
73,0.4999,46.0,1.7142857142857142,0.5714285714285714,18.0,2.571428571428572,37.81,-122.29,0.675,92556,0.9354573648487758,15.257719184480866,1.1428571428571428
74,2.483,20.0,6.2781954887218046,1.2105263157894737,290.0,2.180451127819549,37.81,-122.29,1.375,90775,0.5083129561625233,24.681825584494455,5.067669172932331
75,0.9241,17.0,2.8177676537585423,1.0523917995444192,762.0,1.735763097949886,37.81,-122.28,1.775,94014,-1.0159596631945673,16.82321179929088,1.7653758542141231
76,2.4464,36.0,5.724950884086444,1.1041257367387034,1236.0,2.428290766208252,37.81,-122.28,1.021,90034,-0.3673558087682479,67.39994269560816,4.62082514734774
77,1.1111,19.0,5.830917874396135,1.173913043478261,721.0,3.483091787439613,37.81,-122.28,1.083,96349,0.8190549384206998,42.08332037260673,4.657004830917875
78,0.8026,23.0,5.369230769230769,1.1507692307692308,1054.0,3.243076923076923,37.81,-122.29,1.125,93152,0.11458061710084447,53.77915945153631,4.218461538461538
79,2.0114,38.0,4.412903225806452,1.135483870967742,344.0,2.2193548387096773,37.8,-122.28,1.313,91955,1.0859828944453254,4.733678880915826,3.2774193548387096
80,1.5,17.0,3.1972318339100347,1.0,609.0,2.10726643598616,37.81,-122.28,1.625,91585,-0.3416466956483962,86.12489631007233,2.1972318339100347
81,1.1667,52.0,3.75,1.0,183.0,3.267857142857143,37.81,-122.27,1.125,93943,-0.9998952922481001,17.057155320619223,2.75
82,1.5208,52.0,3.9080459770114944,1.1149425287356325,200.0,2.2988505747126435,37.81,-122.28,1.125,93073,2.193602615610071,36.015233145508816,2.793103448275862
83,0.8075,52.0,2.490322580645161,1.0580645161290323,346.0,2.232258064516129,37.81,-122.28,1.375,91021,-1.6808950827464908,7.190163982776698,1.432258064516129
84,1.8088,35.0,5.609467455621302,1.0887573964497042,467.0,2.763313609467456,37.81,-122.28,1.188,93461,-0.4998395974016641,13.679313464832966,4.520710059171598
85,2.4083,52.0,6.721739130434782,1.2434782608695651,377.0,3.2782608695652176,37.81,-122.28,0.982,92613,0.2797480006999844,66.57994099756614,5.478260869565217
86,0.977,40.0,2.3157894736842106,1.186842105263158,582.0,1.5315789473684212,37.81,-122.27,1.188,95225,0.9860838914777112,69.25870022556889,1.1289473684210527
87,0.76,10.0,2.6515151515151514,1.0545454545454545,546.0,1.6545454545454543,37.81,-122.27,1.625,93843,0.646449368542261,67.6965484625352,1.596969696969697
88,0.9722,10.0,2.6923076923076925,1.0769230769230769,125.0,3.2051282051282053,37.8,-122.27,1.375,91500,2.311259004942879,55.2136787846022,1.6153846153846156
90,2.0938,16.0,2.74585635359116,1.0828729281767957,800.0,2.209944751381216,37.8,-122.27,1.625,94798,-0.11759845265813158,95.25216640119066,1.6629834254143645
91,0.8668,52.0,2.4431818181818183,0.9886363636363636,904.0,10.272727272727272,37.8,-122.28,1.375,96545,-0.8729832613505268,50.71771607685764,1.4545454545454546
92,0.75,52.0,2.823529411764706,0.9117647058823528,191.0,5.617647058823529,37.8,-122.28,1.625,96873,-0.21969602421644946,44.94120292964465,1.9117647058823533
93,2.6354,27.0,3.493377483443709,1.1490066225165565,718.0,2.377483443708609,37.79,-122.27,1.875,95675,-0.31997652935102444,24.754556571714346,2.3443708609271523
94,1.8477,39.0,3.6723768736616704,1.3340471092077089,1327.0,2.841541755888651,37.8,-122.27,1.792,90161,-0.06829514729013945,9.884952926661262,2.3383297644539613
95,2.0096,36.0,2.294016358157555,1.066293585880327,3469.0,1.493327593628928,37.8,-122.26,1.3,94297,-0.9824881228992798,54.81549299661788,1.2277227722772277
96,2.8345,31.0,3.894915254237288,1.1279661016949152,2048.0,1.735593220338983,37.82,-122.26,1.838,91981,0.7840560382503569,31.48901866928281,2.766949152542373
97,2.0062,29.0,3.681318681318681,1.175824175824176,202.0,2.21978021978022,37.81,-122.26,1.25,90995,0.3708302093362092,52.402538319051516,2.505494505494505
98,1.2185,22.0,2.9456,1.016,2024.0,1.6192,37.82,-122.26,1.7,96413,-1.263880829074111,20.611907826047972,1.9296000000000002
99,2.6104,37.0,3.707142857142857,1.1071428571428572,1838.0,1.8755102040816327,37.82,-122.26,1.931,94911,0.9680250758705841,83.81726722079114,2.5999999999999996
100,2.4912,29.0,3.7248,1.1312,2304.0,1.8432,37.81,-122.25,2.578,93342,-0.8114815369845049,99.9697209659069,2.5936000000000003
101,3.2177,28.0,3.878423513694055,1.070808283233133,2563.0,1.7120908483633934,37.81,-122.25,2.734,94551,-1.182815502304289,32.24035101206495,2.807615230460922
102,3.125,39.0,3.745614035087719,1.0614035087719298,389.0,1.706140350877193,37.81,-122.25,2.375,93798,0.08732870392164904,84.23276072603298,2.6842105263157894
106,3.2727,52.0,4.442982456140351,1.0570175438596492,709.0,1.5548245614035088,37.81,-122.24,2.685,91275,-1.7578434493993103,87.29861363924074,3.385964912280702
107,3.1691,52.0,4.165876777251185,1.0900473933649288,686.0,1.6255924170616114,37.81,-122.25,2.594,91016,0.589503049877248,99.60737887570797,3.0758293838862563
108,3.9,52.0,4.848189415041783,1.0459610027855153,1444.0,2.011142061281337,37.82,-122.24,2.757,96439,-2.8388403307831935,34.27201297779794,3.8022284122562677
109,3.9063,28.0,4.160847880299252,1.0660847880299251,1520.0,1.8952618453865333,37.82,-122.25,2.25,96863,-1.0293626899886377,75.60413937141057,3.0947630922693268
110,5.0917,52.0,5.628458498023716,1.1422924901185771,550.0,2.1739130434782608,37.82,-122.25,2.625,90337,1.5751373210879114,22.880900364198542,4.486166007905139
111,2.6429,32.0,3.727005870841488,1.0743639921722117,1806.0,1.7671232876712328,37.82,-122.25,2.185,90878,-0.6866592091733184,62.47960012921433,2.652641878669276
112,3.0233,26.0,3.2530813475760065,0.9827444535743632,1749.0,1.4371405094494658,37.82,-122.25,2.55,91076,-0.5115852052062981,70.48425694728377,2.2703368940016433
113,3.1484,52.0,4.578034682080925,1.0770712909441231,939.0,1.8092485549132948,37.83,-122.25,2.241,94887,1.2736650541304377,74.11206925350965,3.5009633911368017
114,3.4722,35.0,3.822274881516588,1.014218009478673,675.0,1.599526066350711,37.83,-122.25,2.431,93993,-0.7928636050723185,20.717216858446164,2.808056872037915
115,3.1429,52.0,4.3951890034364265,0.986254295532646,534.0,1.8350515463917525,37.83,-122.25,2.316,96360,0.7634381813894765,84.87255704961947,3.4089347079037804
116,2.4234,28.0,3.0234798314268514,1.053582179409994,2558.0,1.5400361228175798,37.83,-122.25,2.185,94859,1.1741881650593213,42.09718603925418,1.9698976520168574
117,3.0897,52.0,4.040501446480231,1.0655737704918034,1786.0,1.7222757955641272,37.83,-122.25,2.341,96331,0.4785303141499034,21.636951773455504,2.974927675988428
126,7.5,50.0,6.127348643006263,0.9874739039665972,1031.0,2.152400835073069,37.84,-122.22,2.952,90379,-1.4448973229642597,54.253108837190155,5.139874739039666
127,6.0194,44.0,5.735343383584589,1.0,1358.0,2.274706867671692,37.84,-122.21,2.923,90492,-0.6039858592158763,86.33571296069421,4.735343383584589
143,2.8929,50.0,5.132246376811594,1.0960144927536233,1260.0,2.282608695652174,37.8,-122.21,2.167,95276,2.713619777528997,96.70879097781138,4.036231884057971
144,3.0812,38.0,4.628336755646817,1.0985626283367556,951.0,1.9527720739219712,37.8,-122.21,2.331,92062,-0.4905236525315732,74.82078217278743,3.529774127310062
145,5.2402,52.0,6.200892857142857,0.9464285714285714,510.0,2.2767857142857144,37.81,-122.21,2.964,93884,2.986329375576428,0.5622886271362426,5.254464285714286
146,6.5217,52.0,6.39935064935065,1.0876623376623376,765.0,2.4837662337662336,37.81,-122.22,2.737,90064,1.7089640520298932,13.470076046595613,5.311688311688313
147,3.2632,52.0,4.745652173913044,1.0108695652173914,1129.0,2.4543478260869565,37.8,-122.22,2.277,92568,0.5190695393722207,7.627398643886574,3.734782608695652
148,3.0298,52.0,5.183673469387755,1.0521541950113378,1073.0,2.433106575963719,37.8,-122.22,1.996,95463,0.29723427249751627,10.121374299388474,4.1315192743764175
149,4.5428,52.0,5.283495145631068,1.050485436893204,1185.0,2.300970873786408,37.8,-122.22,2.398,95248,-0.4648233551271014,38.30349560197751,4.233009708737864
150,4.072,52.0,5.952941176470588,0.9970588235294118,756.0,2.223529411764706,37.81,-122.22,2.701,92027,-0.08891259090346215,33.84933148286278,4.955882352941177
152,3.1603,52.0,4.429193899782135,1.0588235294117647,787.0,1.7145969498910676,37.8,-122.23,2.695,92695,-0.6887241565242733,11.368498126831007,3.3703703703703702
157,6.0302,52.0,5.8203125,0.9296875,634.0,2.4765625,37.81,-122.24,2.873,91495,-0.06362640381960291,88.2235351614249,4.890625
159,2.7477,52.0,4.333333333333333,1.1387163561076603,918.0,1.9006211180124224,37.81,-122.24,2.438,95258,-1.362194891382653,61.54275763323602,3.1946169772256727
160,2.1944,52.0,5.074285714285714,0.96,360.0,2.057142857142857,37.8,-122.24,2.115,95618,-1.4157710130558239,79.6463308956449,4.114285714285714
161,3.0149,52.0,4.276639344262295,1.0450819672131149,1197.0,2.4528688524590163,37.8,-122.25,2.184,96736,1.3010156626547096,37.15493888554309,3.231557377049181
162,3.675,52.0,4.851351351351352,0.9691119691119692,1048.0,2.023166023166023,37.81,-122.24,2.699,90391,-1.6123097359794165,41.023601628756786,3.8822393822393826
163,3.225,46.0,4.326639892904953,1.1178045515394912,1373.0,1.8380187416332,37.81,-122.25,2.188,95794,0.8861381534941315,31.7621210536728,3.208835341365462
164,2.9345,42.0,4.059113300492611,1.0492610837438423,1715.0,1.6896551724137931,37.8,-122.25,2.25,94514,-1.894382195925908,43.84266120984911,3.0098522167487687
165,2.1429,43.0,3.2742382271468142,1.0969529085872576,1359.0,1.882271468144044,37.8,-122.25,2.5,96432,0.6296376030255896,61.03772623550536,2.177285318559557
166,1.6121,41.0,3.5617433414043584,1.1355932203389831,1062.0,2.571428571428572,37.8,-122.25,1.714,94474,-0.20758434514303986,49.298400784024146,2.4261501210653753
167,1.3929,29.0,3.1927554980595083,1.1177231565329884,1335.0,1.7270375161707632,37.8,-122.25,1.938,95892,1.3213162028034042,83.79170061884503,2.07503234152652
168,2.3173,27.0,3.804195804195804,1.1468531468531469,1171.0,2.729603729603729,37.79,-122.24,1.25,93561,-0.3319944588800761,90.01391686098242,2.6573426573426575
169,1.7772,45.0,3.882608695652174,1.1434782608695653,1475.0,3.2065217391304346,37.79,-122.25,0.975,92278,-2.009540055171467,46.96838533675992,2.7391304347826084
170,2.6458,50.0,3.209183673469388,0.9591836734693876,742.0,3.7857142857142856,37.79,-122.25,1.25,96184,-0.1880362858866683,23.974798034864943,2.2500000000000004
171,2.181,52.0,3.68870523415978,1.0771349862258952,1086.0,2.9917355371900825,37.79,-122.25,1.388,93099,0.15966056554792507,94.51924194593089,2.611570247933885
172,2.2303,36.0,3.0902394106813995,1.1160220994475138,1645.0,3.029465930018416,37.8,-122.25,1.167,96278,-0.1319776420317892,73.50386430509226,1.9742173112338857
173,1.6504,43.0,3.639751552795031,1.0046583850931676,1710.0,2.6552795031055902,37.8,-122.25,1.518,90200,0.5751078209897706,64.01270860538799,2.6350931677018634
174,2.2697,52.0,4.368421052631579,1.0,731.0,3.206140350877193,37.8,-122.24,1.27,95959,-0.5643880987057234,74.5413733623976,3.3684210526315788
175,2.1563,52.0,4.585014409221902,1.07492795389049,1118.0,3.2219020172910664,37.8,-122.24,1.286,94875,-1.2634031625456064,7.598178239692288,3.510086455331412
176,2.1348,52.0,4.734328358208956,1.1880597014925374,1006.0,3.002985074626866,37.8,-122.24,1.406,93104,-0.9996488843142238,6.762632763767251,3.546268656716419
177,2.6292,47.0,3.693140794223827,1.0613718411552346,1213.0,2.1895306859205776,37.8,-122.24,1.827,94598,-0.5157673445295374,15.31206525809874,2.631768953068592
178,2.3833,52.0,4.638132295719845,1.1245136186770428,772.0,3.0038910505836576,37.8,-122.23,1.469,92454,-0.5243486162483538,14.745096744053242,3.513618677042802
179,2.957,52.0,4.496259351620948,1.0473815461346634,1321.0,3.29426433915212,37.8,-122.24,1.228,93645,2.406122358003271,42.067047484940446,3.4488778054862843
180,2.5238,49.0,4.192023633677991,1.106351550960118,1487.0,2.1964549483013296,37.8,-122.24,1.693,95847,1.2551054165830837,15.740408228536417,3.0856720827178727
181,1.9375,52.0,4.209677419354839,0.989247311827957,488.0,2.6236559139784945,37.8,-122.23,1.266,90804,0.6867092043485655,85.45256442665965,3.220430107526882
182,1.9028,51.0,4.056122448979592,1.0561224489795915,949.0,2.420918367346939,37.8,-122.23,1.279,96242,0.4460125107285377,57.80969309280258,3.000000000000001
183,2.25,50.0,4.20722891566265,1.1566265060240963,1149.0,2.7686746987951807,37.8,-122.23,1.235,92731,0.29977223560213645,36.826189635025145,3.050602409638554
184,2.3929,52.0,4.471428571428572,1.0678571428571428,844.0,3.0142857142857142,37.8,-122.23,1.119,95991,0.3050005452097285,6.962253822526709,3.4035714285714294
185,2.1917,43.0,4.844029244516653,1.091795288383428,4367.0,3.547522339561332,37.79,-122.23,1.128,92773,0.1632860530801324,59.102779595912516,3.752233956133225
186,2.9357,52.0,4.327669902912621,0.95873786407767,1659.0,4.026699029126213,37.79,-122.23,1.079,91570,0.04011908243657868,11.653282059212632,3.3689320388349513
187,1.8854,30.0,3.798479087452472,1.0038022813688212,1011.0,3.844106463878327,37.79,-122.23,1.375,95056,-2.0918640945508673,74.32202504026063,2.7946768060836504
188,2.1638,39.0,3.776349614395887,1.1079691516709511,1464.0,3.763496143958869,37.79,-122.24,1.055,96756,-0.36912727307249366,80.27580967438215,2.6683804627249357
189,2.125,47.0,4.528052805280528,1.3036303630363035,1237.0,4.082508250825082,37.79,-122.24,0.955,95581,-0.2403008051482479,54.39762579598412,3.224422442244225
190,3.375,52.0,4.011904761904762,1.0714285714285714,647.0,3.851190476190476,37.79,-122.24,1.161,92690,-0.7489730972700454,14.960285914085746,2.9404761904761907
191,2.2542,43.0,4.554621848739496,1.0532212885154062,1284.0,3.596638655462185,37.79,-122.24,1.122,93840,-0.5560969362288024,78.68627237404655,3.5014005602240896
192,2.1,51.0,3.1818181818181817,0.7818181818181819,228.0,4.1454545454545455,37.79,-122.25,0.75,91028,0.30074901718079544,30.782778925933396,2.4
193,1.6,39.0,3.747967479674797,1.048780487804878,381.0,3.097560975609756,37.79,-122.25,1.125,90502,0.7675900769499596,22.265314275345983,2.6991869918699187
194,3.625,52.0,3.973568281938326,1.0440528634361232,846.0,3.7268722466960353,37.79,-122.25,1.25,96910,0.299236461918441,47.05566410184253,2.9295154185022025
195,1.6929,20.0,3.510355029585799,1.1523668639053255,1659.0,2.45414201183432,37.8,-122.26,1.15,94493,0.7424442386469563,92.26462413829178,2.3579881656804735
196,1.6471,52.0,2.833333333333333,0.927536231884058,520.0,3.768115942028986,37.77,-122.22,0.95,90870,0.7601080308146904,29.73732920745237,1.905797101449275
197,2.59,52.0,4.38996138996139,1.162162162162162,866.0,3.343629343629344,37.77,-122.22,0.964,96938,-0.29970559352785353,90.55785009726203,3.2277992277992276
198,2.57,52.0,4.202185792349726,1.1256830601092895,612.0,3.344262295081968,37.77,-122.23,0.72,94488,0.5253074625021505,5.365330873982788,3.076502732240437
199,2.6429,52.0,3.746031746031746,1.1587301587301588,415.0,3.293650793650793,37.78,-122.23,0.713,90206,-1.74637247962368,8.352370501794681,2.587301587301587
200,3.0257,52.0,4.046948356807512,1.0093896713615025,994.0,4.666666666666667,37.78,-122.23,0.808,95134,-0.3843252268587723,69.8561025135247,3.0375586854460095
201,1.4886,50.0,4.0251572327044025,1.1111111111111112,1525.0,3.19706498951782,37.78,-122.22,1.288,95977,-0.5018515894662998,19.059266144817556,2.9140461215932913
202,1.9338,43.0,3.242009132420092,1.0776255707762556,1506.0,3.4383561643835616,37.78,-122.23,1.125,91484,1.5313268023142323,31.662068319662538,2.1643835616438363
203,1.4844,52.0,3.866666666666666,1.011764705882353,1008.0,3.952941176470589,37.78,-122.23,1.194,90863,0.337087292733681,13.637298098057904,2.854901960784313
204,1.6009,44.0,3.1158455392809588,1.0985352862849531,2813.0,3.745672436750999,37.78,-122.23,1.181,92790,-1.3344540811529162,33.22482691325484,2.0173102529960056
205,2.0375,48.0,4.944606413994169,1.154518950437318,1481.0,4.317784256559767,37.79,-122.23,1.225,90563,0.5945838047755574,28.045999389246333,3.7900874635568513
206,2.293,49.0,5.365296803652968,0.9908675799086758,859.0,3.922374429223744,37.79,-122.23,1.063,95116,0.9097833451011628,73.63376389889837,4.3744292237442925
